PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,WE_STATUS,MIRO_STATUS,F110_STATUS,TOTAL_VALUE,Delivery_Delay_Days,COST_SAVINGS,DEFECT_RATE,Vendor_Risk
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Office Supplies,Cancelled,1176,20.13,17.81,,Yes,Completed,Pending,Not Paid,20944.559999999998,8.0,2728.32,,Low Risk
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235.0,Yes,Completed,Verified,Paid,56346.060000000005,10.0,2987.819999999995,0.15573227302849568,High Risk
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41.0,Yes,Completed,Verified,Paid,83956.6,20.0,2957.5,0.045054945054945054,Low Risk
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112.0,Yes,Completed,Verified,Paid,128378.87999999999,19.0,5819.519999999998,0.08333333333333333,Low Risk
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171.0,No,Completed,Verified,Paid,71425.4,12.0,4177.199999999991,0.14491525423728813,High Risk
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39.0,Yes,Completed,Verified,Paid,72787.65,12.0,6457.799999999993,0.03406113537117904,Low Risk
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96.0,No,Completed,Verified,Paid,84832.68000000001,11.0,6297.699999999995,0.05411499436302142,Low Risk
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22.0,Yes,Completed,Verified,Paid,35861.32,14.0,4540.0999999999985,0.02010968921389397,Low Risk
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89.0,Yes,Completed,Pending,Not Paid,67334.32,4.0,6819.519999999999,0.052725118483412325,Low Risk
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Raw Materials,Pending,171,76.87,70.2,8.0,Yes,Completed,Pending,Not Paid,12004.2,12.0,1140.5700000000004,0.04678362573099415,Low Risk
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18.0,Yes,Completed,Verified,Paid,368400.00000000006,15.0,24049.99999999994,0.0036,Low Risk
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115.0,Yes,Completed,Verified,Paid,432900.0,14.0,11899.999999999978,0.023,Low Risk
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Electronics,Pending,5000,86.74,74.86,51.0,Yes,Completed,Pending,Not Paid,374300.0,17.0,59399.99999999998,0.0102,Low Risk
